City,Street,Accident_Count
Agawam,MA-57 E,2
Agawam,US-5 S,2
Agawam,MA-57 W,1
Agawam,Main St,1
Agawam,Maple St,1
Agency,US-71,10
Agency,US-34 E,2
Agency,US-34,1
Agency,W Main St,1
Agoura Hills,US-101 S,443
Agoura Hills,US-101 N,395
Agoura Hills,Kanan Rd,138
Agoura Hills,US-101,86
Agoura Hills,Liberty Canyon Rd,84
Agoura Hills, Kanan Rd,60
Agoura Hills,Mulholland Hwy,45
Agoura Hills,Reyes Adobe Rd,41
Agoura Hills, Mulholland Hwy,39
Agoura Hills,Lost Hills Rd,11
Aguanga, Highway 79,21
Aguanga,Highway 79,12
Aguanga,Cahuilla Rd,8
Aguanga, Cahuilla Rd,4
Aguanga,US Highway 371,4
Aguanga,Golden Hills Dr,2
Aguanga,Sage Rd,2
Aguanga,Wilson Valley Rd,2
Aguanga, Wilson Valley Rd,1
Aguanga,Dugan Dr,1
Aguila, W Ray St,5
Aguila, N 2nd Ave,1
Aguilar,I-25 N,26
Aguilar,I-25 S,12
Aguilar,I-25,3
Aguilar,County Road 60,2
Aguilar,US-85 S,2
Aguilar,US-87 N,2
Aguilar, I-25-SPUR,1
Ahoskie, US Highway 13 N,13
Ahoskie, NC-11 S,8
Ahoskie, US Highway 13 S,6
Ahoskie, US-13 N,6
Ahoskie,US-13,6
Ahoskie, NC Highway 11 N,4
Ahoskie, NC-11,4
Ahoskie, Wards Rd,4
Ahoskie,NC-11,4
Ahoskie, Sweet Betsy Ln,3
Ahwahnee, Highway 49,52
Ahwahnee,Highway 49,11
Ahwahnee, Road 628,10
Ahwahnee, Road 600,6
Ahwahnee,Harris Rd,5
Ahwahnee,Highway 49 S,5
Ahwahnee, Highway 49 S,4
Ahwahnee, Road 601,4
Ahwahnee, Sunrise Dr,4
Ahwahnee,Road 600,4
Aiken,I-20 E,220
Aiken,Edgefield Hwy,180
Aiken,Charleston Hwy,105
Aiken,I-20 W,104
Aiken,Silver Bluff Rd,103
Aiken,I-20,102
Aiken,Whiskey Rd,97
Aiken,Williston Rd,80
Aiken,Wire Rd,75
Aiken,Rudy Mason Pkwy,61
Ailey, US Highway 280,7
Ailey, W Broad St,4
Ailey, GA-130,2
Ailey, Petross Rd,2
Ailey, GA Highway 135,1
Ailey, GA Highway 29,1
Ailey,College St,1
Ailey,GA-135,1
Ainsworth,IA-27,6
Ainsworth,US-218,6
Ainsworth, Highway 92,1
Ainsworth, IA-92,1
Ainsworth, Old White Way,1
Ainsworth, US Highway 218,1
Ainsworth, W 4th St,1
Ainsworth,IA-923,1
Ainsworth,US-218 S,1
Ainsworth,Vine Ave,1
Airmont, Saddle River Rd,7
Airmont,Route 59,7
Airmont, Route 59,2
Airmont,Saddle River Rd,2
Airmont,Brookside Ave,1
Airmont,Kenneth St,1
Airville, Delta Rd,28
Airville,Delta Rd,14
Airville, Woodbine Rd,4
Airville, Bridgeton Rd,2
Airville, Center Rd,2
Airville,McCalls Ferry Rd,2
Airville,Sawmill Rd,2
Airville,Woodbine Rd,2
Airville, Church Rd,1
Airville, Crowl Rd,1
Airway Heights,S Hayford Rd,12
Airway Heights,W Sunset Hwy,5
Airway Heights, W Sunset Hwy,4
Airway Heights,S Russell St,2
Airway Heights,W 17th Ave,2
Airway Heights,S Aspen St,1
Airway Heights,S Garfield Rd,1
Airway Heights,W 1st Ave,1
Airway Heights,W 21st Ave,1
Aitkin, State Highway 210,74
Aitkin, US Highway 169,57
Aitkin, State Highway 47,47
Aitkin, State Highway 18,37
Aitkin,State Highway 210,15
Aitkin,State Highway 18,9
Aitkin,US Highway 169,9
Aitkin, 2nd St NW,6
Aitkin, 270th St,5
Aitkin, 415th Ln,5
Ajo, N Ajo Gila Bend Hwy,25
Ajo,Ajo Sonita Hwy,24
Ajo,S State Hwy 85,16
Ajo,AZ-85,14
Ajo,N Ajo Gila Bend Hwy,12
Ajo,S Sonoyta Way,8
Ajo, S Sonoyta Way,7
Ajo,N Sonoita Hwy,7
Ajo, E Ball Rd,4
Ajo, W 4th St,3
Akeley, State Highway 64,48
Akeley, State Highway 34 NW,21
Akeley, State Highway 34,19
Akeley, Broadway St E,9
Akeley,Kabekona Forest Rd,8
Akeley, County Road 33,6
Akeley,State Highway 64,5
Akeley,State Highway 34,4
Akeley, Gray Wolf Dr,3
Akeley,E Spur II Forest Rd,3
Akron,I-77 S,687
Akron,I-77 N,510
Akron,I-76 E,453
Akron,I-76 W,422
Akron,I-77,162
Akron,OH-8 S,155
Akron,I-76,148
Akron,OH-8 N,125
Akron,I-90 W,111
Akron,US-224 E,105
Alabaster,I-65 N,263
Alabaster,I-65 S,164
Alabaster,I-65,78
Alabaster,1st St S,13
Alabaster, Montevallo Rd,5
Alabaster,Montevallo Rd,4
Alabaster,Fulton Springs Rd,3
Alabaster,Highway 26,3
Alabaster,Industrial Rd,3
Alabaster,Kent Dairy Rd,3
Alachua,I-75 S,212
Alachua,I-75 N,178
Alachua,I-75,128
Alachua,NW County Road 236,106
Alachua,Martin Luther King Blvd,65
Alachua, NW US Highway 441,13
Alachua, NW County Road 235,12
Alachua,NW US Highway 441,11
Alachua,W State Road 235,9
Alachua, N State Road 121,8
Alameda,Posey Tube,7
Alameda, Broadway,4
Alameda,Island Dr,3
Alameda, 5th St,2
Alameda, Lincoln Ave,2
Alameda, Northwood Dr,2
Alameda, Poggi St,2
Alameda, Sand Harbor Rd,2
Alameda,B St,2
Alameda, Alameda Ave,1
Alamo,I-680 N,1056
